snapshot_date,event_id,event_type,rail,customer_id,event_timestamp,transfer_id,reference_number,beneficiary_id,status,wio_account_number,wio_iban,counterparty_account_number,counterparty_iban,counterparty_swift_bic,counterparty_name,counterparty_country,amount,currency,source_table
2026-07-16,INT-IN-CP-001,TRANSFER_RECEIVED,INTERNATIONAL,R1001,2026-06-01 10:00:00,INT-IN-CP-001,INTREF001,,COMPLETED,100000000001,AE070330000000000010001,,DE89370400440532013000,DEUTDEFF,Acme Trading GmbH,DE,10000.00,EUR,wio.payment_db.fact_intl_inwards_payments
2026-07-16,INT-IN-CP-002,TRANSFER_RECEIVED,INTERNATIONAL,R3001,2026-06-03 11:30:00,INT-IN-CP-002,INTREF002,,COMPLETED,300000000001,AE070330000000000030001,,DE89 3704 0044 0532 0130 00,DEUTDEFF,ACME TRADING GMBH,DE,7500.00,EUR,wio.payment_db.fact_intl_inwards_payments
2026-07-16,INT-OUT-CP-001,TRANSFER_SENT,INTERNATIONAL,R1001,2026-06-10 09:15:00,INT-OUT-CP-001,OUTREF001,BEN-INT-001,COMPLETED,100000000001,AE070330000000000010001,GBACC9002,,BARCGB22,Global Exchange Ltd,GB,5000.00,GBP,wio.payment_db.fact_intl_outwards_payments
2026-07-16,INT-OUT-CP-002,TRANSFER_SENT,INTERNATIONAL,R3002,2026-06-11 15:45:00,INT-OUT-CP-002,OUTREF002,BEN-INT-901,COMPLETED,300000000002,AE070330000000000030002,GBACC9002,,barcgb22,GLOBAL EXCHANGE LTD,GB,3000.00,GBP,wio.payment_db.fact_intl_outwards_payments
2026-07-16,INT-OUT-POST-FRC,TRANSFER_SENT,INTERNATIONAL,R1001,2026-06-16 12:00:00,INT-OUT-POST-FRC,OUTREF003,BEN-INT-003,COMPLETED,100000000001,AE070330000000000010001,POSTFRC001,,NEDSZAJJ,Post FRC Counterparty,ZA,9000.00,USD,wio.payment_db.fact_intl_outwards_payments
2026-07-16,LOC-OUT-CP-001,TRANSFER_SENT,LOCAL,B2001,2026-06-05 08:30:00,LOC-OUT-CP-001,LOCOUT001,BEN-LOC-001,COMPLETED,200000000001,AE070330000000000020001,009991001,,,Local Supplier LLC,AE,20000.00,AED,wio.payment_db.fact_local_outwards_payments
2026-07-16,LOC-OUT-CP-002,TRANSFER_SENT,LOCAL,B3002,2026-06-07 13:20:00,LOC-OUT-CP-002,LOCOUT002,BEN-LOC-902,COMPLETED,300000000102,AE070330000000000031002,009991001,,,LOCAL SUPPLIER LLC,AE,12000.00,AED,wio.payment_db.fact_local_outwards_payments
2026-07-16,LOC-OUT-CP-002,TRANSFER_SENT,LOCAL,B3002,2026-06-07 13:20:00,LOC-OUT-CP-002,LOCOUT002,BEN-LOC-902,COMPLETED,300000000102,AE070330000000000031002,009991001,,,LOCAL SUPPLIER LLC,AE,12000.00,AED,wio.payment_db.fact_local_outwards_payments
2026-07-16,LOC-IN-CP-001,TRANSFER_RECEIVED,LOCAL,B2001,2026-06-08 10:10:00,LOC-IN-CP-001,LOCIN001,,COMPLETED,200000000001,AE070330000000000020001,,AE120260000000000077701,,Local Sender,AE,18000.00,AED,wio.payment_db.fact_local_inwards_payments
2026-07-16,LOC-IN-CP-002,TRANSFER_RECEIVED,LOCAL,R3004,2026-06-09 16:40:00,LOC-IN-CP-002,LOCIN002,,COMPLETED,300000000004,AE070330000000000030004,,AE12 0260 0000 0000 0077 701,,LOCAL SENDER,AE,6000.00,AED,wio.payment_db.fact_local_inwards_payments
2026-07-16,BEN-ADD-R3003-R1001,BENEFICIARY_ADDED,LOCAL,R3003,2026-06-10 14:00:00,,,RET-BEN-1001,ACTIVE,,,100000000001,AE070330000000000010001,,Saved Retail Beneficiary,AE,,AED,prod.retail_semantic_db_pii.vw_retail_beneficiary_master
2026-07-16,BEN-ADD-B3003-B2001,BENEFICIARY_ADDED,LOCAL,B3003,2026-06-25 09:00:00,,,SME-BEN-2001,ACTIVE,,,200000000001,AE070330000000000020001,,Saved SME Beneficiary,AE,,AED,prod.sme_semantic_db_pii.vw_beneficiary_master
2026-07-16,BEN-ADD-UNRELATED,BENEFICIARY_ADDED,INTERNATIONAL,R3005,2026-06-12 17:00:00,,,RET-BEN-9999,ACTIVE,,,UNRELATED999,,CITIUS33,Unrelated Beneficiary,US,,USD,prod.retail_semantic_db_pii.vw_retail_beneficiary_master
2026-07-16,MISSING-COUNTERPARTY-KEY,TRANSFER_SENT,LOCAL,R3006,2026-06-14 11:00:00,MISSING-COUNTERPARTY-KEY,MISSREF001,,COMPLETED,300000000006,AE070330000000000030006,,,,Unknown,,100.00,AED,wio.payment_db.fact_local_outwards_payments
