snapshot_date,entity_type,entity_id,entity_key,lookup_customer_id,individual_id,emirates_id_number,entity_created_at
2026-07-16,RETAIL,R1001,RETAIL|R1001,R1001,,784-1990-1234567-1,2025-01-10 09:30:00
2026-07-16,RETAIL,R1002,RETAIL|R1002,R1002,,784199012345671,2025-04-15 12:00:00
2026-07-16,SME,B3001,SME|B3001,B3001,I3001,784 1990 1234567 1,2025-06-20 14:15:00
2026-07-16,RETAIL,R1003,RETAIL|R1003,R1003,,784-1988-7654321-0,2025-03-12 08:20:00
2026-07-16,SME,B2001,SME|B2001,B2001,I2001,784-1985-1234567-2,2024-11-05 10:00:00
2026-07-16,SME,B2001,SME|B2001,B2001,I2002,,2024-11-05 10:00:00
2026-07-16,SME,B2001,SME|B2001,B2001,I2003,784-1999-1234567-3,2024-11-05 10:00:00
2026-07-16,RETAIL,R2002,RETAIL|R2002,R2002,,784198512345672,2025-08-01 16:45:00
2026-07-16,SME,B2002,SME|B2002,B2002,I4001,784199912345673,2025-02-18 11:10:00
2026-07-16,SME,B2002,SME|B2002,B2002,I4001,784199912345673,2025-02-18 11:10:00
2026-07-16,SME,B2002,SME|B2002,B2002,I4002,,2025-02-18 11:10:00
2026-07-16,RETAIL,R2003,RETAIL|R2003,R2003,,784-1999-1234567-3,2025-09-10 13:00:00
2026-07-16,SME,B2004,SME|B2004,B2004,I5001,000000000000000,2025-10-01 09:00:00
2026-07-16,RETAIL,R3001,RETAIL|R3001,R3001,,,2025-11-01 09:00:00
2026-07-16,RETAIL,R3002,RETAIL|R3002,R3002,,,2025-11-02 09:00:00
2026-07-16,SME,B3002,SME|B3002,B3002,I6001,,2025-11-03 09:00:00
2026-07-16,RETAIL,R3004,RETAIL|R3004,R3004,,,2025-11-04 09:00:00
2026-07-16,RETAIL,R3003,RETAIL|R3003,R3003,,,2025-11-05 09:00:00
2026-07-16,SME,B3003,SME|B3003,B3003,I6002,,2025-11-06 09:00:00
2026-07-16,RETAIL,R3005,RETAIL|R3005,R3005,,,2025-11-07 09:00:00
2026-07-16,RETAIL,R3006,RETAIL|R3006,R3006,,,2025-11-08 09:00:00
