account_id,customer_id,entity_type,account_number,iban,account_currency,account_status,account_opened_date,account_closed_date
ACC-R1001-001,R1001,RETAIL,100000000001,AE070330000100000000001,AED,ACTIVE,2024-03-15,
ACC-B2001-001,B2001,SME,200000000001,AE070330000200000000001,AED,ACTIVE,2023-06-10,
ACC-R1002-001,R1002,RETAIL,100000000002,AE070330000100000000002,AED,ACTIVE,2026-06-20,
ACC-R1003-001,R1003,RETAIL,100000000003,AE070330000100000000003,AED,ACTIVE,2023-01-12,
ACC-B2002-001,B2002,SME,200000000002,AE070330000200000000002,AED,ACTIVE,2024-01-05,
ACC-R1004-001,R1004,RETAIL,100000000004,AE070330000100000000004,AED,ACTIVE,2026-07-01,
ACC-R1005-001,R1005,RETAIL,100000000005,AE070330000100000000005,AED,ACTIVE,2026-06-25,
ACC-R1006-001,R1006,RETAIL,100000000006,AE070330000100000000006,AED,ACTIVE,2022-09-10,
ACC-R1007-001,R1007,RETAIL,100000000007,AE070330000100000000007,AED,ACTIVE,2026-07-05,
ACC-R8001-001,R8001,RETAIL,800000000001,AE070330000800000000001,AED,ACTIVE,2021-01-01,
ACC-R8002-001,R8002,RETAIL,800000000002,AE070330000800000000002,AED,ACTIVE,2022-02-02,
ACC-R8003-001,R8003,RETAIL,800000000003,AE070330000800000000003,AED,ACTIVE,2023-03-03,
ACC-R8004-001,R8004,RETAIL,800000000004,AE070330000800000000004,AED,ACTIVE,2024-04-04,
ACC-R8005-001,R8005,RETAIL,800000000005,AE070330000800000000005,AED,ACTIVE,2021-05-05,
ACC-R8006-001,R8006,RETAIL,800000000006,AE070330000800000000006,AED,ACTIVE,2022-06-06,
ACC-R8007-001,R8007,RETAIL,800000000007,AE070330000800000000007,AED,ACTIVE,2023-07-07,
ACC-R8008-001,R8008,RETAIL,800000000008,AE070330000800000000008,AED,ACTIVE,2024-08-08,
ACC-R8009-001,R8009,RETAIL,800000000009,AE070330000800000000009,AED,ACTIVE,2021-09-09,
ACC-R8010-001,R8010,RETAIL,800000000010,AE070330000800000000010,AED,ACTIVE,2022-10-10,
ACC-R8011-001,R8011,RETAIL,800000000011,AE070330000800000000011,AED,ACTIVE,2023-11-11,
ACC-R8012-001,R8012,RETAIL,800000000012,AE070330000800000000012,AED,ACTIVE,2024-12-12,
ACC-R8013-001,R8013,RETAIL,800000000013,AE070330000800000000013,AED,ACTIVE,2021-01-13,
ACC-R8014-001,R8014,RETAIL,800000000014,AE070330000800000000014,AED,ACTIVE,2022-02-14,
ACC-R8015-001,R8015,RETAIL,800000000015,AE070330000800000000015,AED,ACTIVE,2023-03-15,
ACC-R8016-001,R8016,RETAIL,800000000016,AE070330000800000000016,AED,ACTIVE,2024-04-16,
ACC-R8017-001,R8017,RETAIL,800000000017,AE070330000800000000017,AED,ACTIVE,2021-05-17,
ACC-R8018-001,R8018,RETAIL,800000000018,AE070330000800000000018,AED,ACTIVE,2022-06-18,
ACC-R8019-001,R8019,RETAIL,800000000019,AE070330000800000000019,AED,ACTIVE,2023-07-19,
ACC-R8020-001,R8020,RETAIL,800000000020,AE070330000800000000020,AED,ACTIVE,2024-08-20,
ACC-R8021-001,R8021,RETAIL,800000000021,AE070330000800000000021,AED,ACTIVE,2021-09-21,
ACC-R8022-001,R8022,RETAIL,800000000022,AE070330000800000000022,AED,ACTIVE,2022-10-22,
ACC-R8023-001,R8023,RETAIL,800000000023,AE070330000800000000023,AED,ACTIVE,2023-11-23,
ACC-R8024-001,R8024,RETAIL,800000000024,AE070330000800000000024,AED,ACTIVE,2024-12-24,
ACC-R8025-001,R8025,RETAIL,800000000025,AE070330000800000000025,AED,ACTIVE,2021-01-01,
ACC-R8026-001,R8026,RETAIL,800000000026,AE070330000800000000026,AED,ACTIVE,2022-02-02,
ACC-R8027-001,R8027,RETAIL,800000000027,AE070330000800000000027,AED,ACTIVE,2023-03-03,
ACC-R8028-001,R8028,RETAIL,800000000028,AE070330000800000000028,AED,ACTIVE,2024-04-04,
ACC-R8029-001,R8029,RETAIL,800000000029,AE070330000800000000029,AED,ACTIVE,2021-05-05,
