transfer_id,quote_id,status,reference_number,source_account_id,direction,customer_id,transaction_timestamp,beneficiary_id,beneficiary_account_number,beneficiary_iban,source_amount,target_amount,payment_purpose_key,payment_purpose_name,service_type,source_iban,total_fees,fee_details
LOC-IN-0000006,QUOTE-LOC-IN-0000006,COMPLETED,REF-LOC-IN-0000006,EXT-SRC-000001,INWARD,R1002,2026-07-08 08:10:00,,100000000002,AE070330000100000000002,8000.00,8000.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121017000000000000001,0.00,[]
LOC-IN-0000007,QUOTE-LOC-IN-0000007,COMPLETED,REF-LOC-IN-0000007,EXT-SRC-000002,INWARD,R1002,2026-07-08 12:25:00,,100000000002,AE070330000100000000002,6500.00,6500.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121027000000000000002,0.00,[]
LOC-IN-0000008,QUOTE-LOC-IN-0000008,COMPLETED,REF-LOC-IN-0000008,EXT-SRC-000003,INWARD,R1002,2026-07-09 09:05:00,,100000000002,AE070330000100000000002,9200.00,9200.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121037000000000000003,0.00,[]
LOC-IN-0000009,QUOTE-LOC-IN-0000009,COMPLETED,REF-LOC-IN-0000009,EXT-SRC-000004,INWARD,R1002,2026-07-09 14:40:00,,100000000002,AE070330000100000000002,7400.00,7400.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121047000000000000004,0.00,[]
LOC-IN-0000010,QUOTE-LOC-IN-0000010,COMPLETED,REF-LOC-IN-0000010,EXT-SRC-000005,INWARD,R1002,2026-07-10 08:35:00,,100000000002,AE070330000100000000002,10500.00,10500.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121057000000000000005,0.00,[]
LOC-IN-0000011,QUOTE-LOC-IN-0000011,COMPLETED,REF-LOC-IN-0000011,EXT-SRC-000006,INWARD,R1002,2026-07-10 13:15:00,,100000000002,AE070330000100000000002,6800.00,6800.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121067000000000000006,0.00,[]
LOC-IN-0000012,QUOTE-LOC-IN-0000012,COMPLETED,REF-LOC-IN-0000012,EXT-SRC-000007,INWARD,R1002,2026-07-11 09:20:00,,100000000002,AE070330000100000000002,8900.00,8900.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121077000000000000007,0.00,[]
LOC-IN-0000013,QUOTE-LOC-IN-0000013,COMPLETED,REF-LOC-IN-0000013,EXT-SRC-000008,INWARD,R1002,2026-07-11 15:05:00,,100000000002,AE070330000100000000002,7200.00,7200.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121087000000000000008,0.00,[]
LOC-IN-0000014,QUOTE-LOC-IN-0000014,COMPLETED,REF-LOC-IN-0000014,EXT-SRC-000009,INWARD,R1002,2026-07-12 08:50:00,,100000000002,AE070330000100000000002,9600.00,9600.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121097000000000000009,0.00,[]
LOC-IN-0000015,QUOTE-LOC-IN-0000015,COMPLETED,REF-LOC-IN-0000015,EXT-SRC-000010,INWARD,R1002,2026-07-12 12:10:00,,100000000002,AE070330000100000000002,7800.00,7800.00,PERSONAL_TRANSFER,Personal Transfer,FTS,AE121107000000000000010,0.00,[]
