customer_id,beneficiary_account_number,source,beneficiary_id,customer_type,beneficiary_type,customer_creation_date,beneficiary_account_holder_name,nick_name,is_active,country_of_beneficiary,currency,bank_name,swift_code,beneficiary_created_date,beneficiary_updated_date,legal_type,two_factor_auth_status,cooldown,beneficiary_address_first_line,beneficiary_address_city,beneficiary_address_state,beneficiary_address_country,beneficiary_address_post_code
R1001,990100000001,payment,RET-BEN-000001,RETAIL,local,2024-03-15,Mosaic General Trading LLC,Mosaic Trading,True,AE,AED,Emirates Commercial Bank,,2026-07-09 14:00:00,2026-07-09 15:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1002,990100000001,payment,RET-BEN-000002,RETAIL,local,2026-06-20,Mosaic General Trading LLC,Mosaic,True,AE,AED,Emirates Commercial Bank,,2026-07-06 09:00:00,2026-07-06 10:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1002,770100000001,payment,RET-BEN-000003,RETAIL,local,2026-06-20,Personal Contact 1,Contact 1,True,AE,AED,Emirates Commercial Bank,,2026-07-07 10:00:00,2026-07-07 11:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1002,770100000002,payment,RET-BEN-000004,RETAIL,local,2026-06-20,Personal Contact 2,Contact 2,True,AE,AED,Emirates Commercial Bank,,2026-07-08 10:00:00,2026-07-08 11:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1002,770100000003,payment,RET-BEN-000005,RETAIL,local,2026-06-20,Personal Contact 3,Contact 3,True,AE,AED,Emirates Commercial Bank,,2026-07-09 10:00:00,2026-07-09 11:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1002,770100000004,payment,RET-BEN-000006,RETAIL,local,2026-06-20,Personal Contact 4,Contact 4,True,AE,AED,Emirates Commercial Bank,,2026-07-10 10:00:00,2026-07-10 11:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1003,990100000001,payment,RET-BEN-000007,RETAIL,local,2023-01-12,Mosaic General Trading LLC,Mosaic,True,AE,AED,Emirates Commercial Bank,,2026-07-11 16:30:00,2026-07-11 17:30:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1004,990100000001,payment,RET-BEN-000009,RETAIL,local,2026-07-01,Mosaic General Trading LLC,Mosaic,True,AE,AED,Emirates Commercial Bank,,2026-07-12 18:00:00,2026-07-12 19:00:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1001,880100000001,payment,RET-BEN-000010,RETAIL,local,2024-03-15,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-10-16 09:15:00,2025-10-16 10:15:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
R1003,880100000001,payment,RET-BEN-000012,RETAIL,local,2023-01-12,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-10-16 09:15:00,2025-10-16 10:15:00,PERSON,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
