business_id,beneficiary_account_number,source,beneficiary_id,customer_type,beneficiary_type,customer_creation_date,beneficiary_account_holder_name,nick_name,is_active,country_of_beneficiary,currency,bank_name,swift_code,beneficiary_created_date,beneficiary_updated_date,legal_type,two_factor_auth_status,cooldown,beneficiary_address_first_line,beneficiary_address_city,beneficiary_address_state,beneficiary_address_country,beneficiary_address_post_code
B2002,990100000001,payment,SME-BEN-000008,SME,local,2024-01-05,Mosaic General Trading LLC,Mosaic Supplier,True,AE,AED,Emirates Commercial Bank,,2025-09-15 10:00:00,2025-09-15 11:00:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B2001,880100000001,payment,SME-BEN-000011,SME,local,2023-06-10,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-10-16 09:15:00,2025-10-16 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9001,880100000001,payment,SME-BEN-000091,SME,local,2020-01-01,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9002,880100000001,payment,SME-BEN-000092,SME,local,2021-02-02,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9003,880100000001,payment,SME-BEN-000093,SME,local,2022-03-03,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9004,880100000001,payment,SME-BEN-000094,SME,local,2023-04-04,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9005,880100000001,payment,SME-BEN-000095,SME,local,2024-05-05,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9006,880100000001,payment,SME-BEN-000096,SME,local,2020-06-06,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9007,880100000001,payment,SME-BEN-000097,SME,local,2021-07-07,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9008,880100000001,payment,SME-BEN-000098,SME,local,2022-08-08,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9009,880100000001,payment,SME-BEN-000099,SME,local,2023-09-09,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9010,880100000001,payment,SME-BEN-000100,SME,local,2024-10-10,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9011,880100000001,payment,SME-BEN-000101,SME,local,2020-11-11,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9012,880100000001,payment,SME-BEN-000102,SME,local,2021-12-12,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9013,880100000001,payment,SME-BEN-000103,SME,local,2022-01-13,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9014,880100000001,payment,SME-BEN-000104,SME,local,2023-02-14,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9015,880100000001,payment,SME-BEN-000105,SME,local,2024-03-15,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-08-05 09:15:00,2025-08-05 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9016,880100000001,payment,SME-BEN-000106,SME,local,2020-04-16,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-07-12 09:15:00,2025-07-12 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9017,880100000001,payment,SME-BEN-000107,SME,local,2021-05-17,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-07-12 09:15:00,2025-07-12 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
B9018,880100000001,payment,SME-BEN-000108,SME,local,2022-06-18,Horizon Facilities Services LLC,Horizon Services,True,AE,AED,National Commercial Bank,,2025-07-12 09:15:00,2025-07-12 10:15:00,BUSINESS,COMPLETED,false,Sheikh Zayed Road,Dubai,Dubai,AE,
