entity_type,entity_id,customer_id,business_id,individual_id,emirates_id_number,customer_segment,customer_status,customer_created_date
RETAIL,R2001,R2001,,,784-1981-2000001-8,RETAIL,ACTIVE,2021-01-18
RETAIL,R3001,R3001,,,784 1982 2000002 6,RETAIL,ACTIVE,2021-02-04
RETAIL,R3002,R3002,,,784198320000034,RETAIL,ACTIVE,2021-02-21
RETAIL,R3003,R3003,,,784-1984-2000004-2,RETAIL,ACTIVE,2021-03-10
RETAIL,R3004,R3004,,,784 1985 2000005 0,RETAIL,ACTIVE,2021-03-27
RETAIL,R3005,R3005,,,784198620000068,RETAIL,ACTIVE,2021-04-13
RETAIL,R3006,R3006,,,784-1987-2000007-6,RETAIL,ACTIVE,2021-04-30
RETAIL,R3007,R3007,,,784 1988 2000008 4,RETAIL,ACTIVE,2021-05-17
RETAIL,R3008,R3008,,,784198920000092,RETAIL,ACTIVE,2021-06-03
RETAIL,R3009,R3009,,,784-1990-2000010-0,RETAIL,ACTIVE,2021-06-20
RETAIL,R3010,R3010,,,784 1991 2000011 8,RETAIL,ACTIVE,2021-07-07
RETAIL,R3011,R3011,,,784199220000126,RETAIL,ACTIVE,2021-07-24
RETAIL,R3012,R3012,,,784-1993-2000013-4,RETAIL,ACTIVE,2021-08-10
RETAIL,R3013,R3013,,,784 1994 2000014 2,RETAIL,ACTIVE,2021-08-27
RETAIL,R3014,R3014,,,784199520000150,RETAIL,ACTIVE,2021-09-13
RETAIL,R3015,R3015,,,784-1996-2000016-8,RETAIL,ACTIVE,2021-09-30
RETAIL,R3016,R3016,,,784 1997 2000017 6,RETAIL,ACTIVE,2021-10-17
RETAIL,R3017,R3017,,,784199820000184,RETAIL,ACTIVE,2021-11-03
RETAIL,R3018,R3018,,,784-1999-2000019-2,RETAIL,ACTIVE,2021-11-20
RETAIL,R3019,R3019,,,784 2000 2000020 0,RETAIL,ACTIVE,2021-12-07
RETAIL,R3020,R3020,,,784200120000218,RETAIL,ACTIVE,2021-12-24
RETAIL,R3021,R3021,,,784-2002-2000022-6,RETAIL,ACTIVE,2022-01-10
RETAIL,R3022,R3022,,,784 2003 2000023 4,RETAIL,ACTIVE,2022-01-27
RETAIL,R3023,R3023,,,784200420000242,RETAIL,ACTIVE,2022-02-13
RETAIL,R3024,R3024,,,784-1980-2000025-5,RETAIL,ACTIVE,2022-03-02
RETAIL,R3025,R3025,,,784 1981 2000026 3,RETAIL,ACTIVE,2022-03-19
RETAIL,R3026,R3026,,,784198220000271,RETAIL,ACTIVE,2022-04-05
RETAIL,R3027,R3027,,,784-1983-2000028-9,RETAIL,ACTIVE,2022-04-22
RETAIL,R3028,R3028,,,784 1984 2000029 7,RETAIL,ACTIVE,2022-05-09
RETAIL,R3029,R3029,,,784198520000305,RETAIL,ACTIVE,2022-05-26
RETAIL,R3030,R3030,,,784-1986-2000031-3,RETAIL,ACTIVE,2022-06-12
RETAIL,R3031,R3031,,,784 1987 2000032 1,RETAIL,ACTIVE,2022-06-29
RETAIL,R3032,R3032,,,784198820000339,RETAIL,ACTIVE,2022-07-16
RETAIL,R3033,R3033,,,784-1989-2000034-7,RETAIL,ACTIVE,2022-08-02
RETAIL,R3034,R3034,,,784 1990 2000035 5,RETAIL,ACTIVE,2022-08-19
RETAIL,R3035,R3035,,,784199120000363,RETAIL,ACTIVE,2022-09-05
RETAIL,R3036,R3036,,,784-1992-2000037-1,RETAIL,ACTIVE,2022-09-22
RETAIL,R3037,R3037,,,784 1993 2000038 9,RETAIL,ACTIVE,2022-10-09
RETAIL,R3038,R3038,,,784199420000397,RETAIL,ACTIVE,2022-10-26
RETAIL,R3039,R3039,,,784-1995-2000040-5,RETAIL,ACTIVE,2022-11-12
RETAIL,R3040,R3040,,,784 1996 2000041 3,RETAIL,ACTIVE,2022-11-29
RETAIL,R3041,R3041,,,784199720000421,RETAIL,ACTIVE,2022-12-16
RETAIL,R3042,R3042,,,784-1998-2000043-9,RETAIL,ACTIVE,2023-01-02
RETAIL,R3043,R3043,,,784 1999 2000044 7,RETAIL,ACTIVE,2023-01-19
RETAIL,R3044,R3044,,,784200020000455,RETAIL,ACTIVE,2023-02-05
RETAIL,R3045,R3045,,,784-2001-2000046-3,RETAIL,ACTIVE,2023-02-22
RETAIL,R3046,R3046,,,784 2002 2000047 1,RETAIL,ACTIVE,2023-03-11
RETAIL,R3047,R3047,,,784200320000489,RETAIL,ACTIVE,2023-03-28
RETAIL,R3048,R3048,,,784-2004-2000049-7,RETAIL,ACTIVE,2023-04-14
RETAIL,R3049,R3049,,,784 1980 2000050 0,RETAIL,ACTIVE,2023-05-01
RETAIL,R3050,R3050,,,784198120000518,RETAIL,ACTIVE,2023-05-18
RETAIL,R3051,R3051,,,784-1982-2000052-6,RETAIL,ACTIVE,2023-06-04
RETAIL,R3052,R3052,,,784 1983 2000053 4,RETAIL,ACTIVE,2023-06-21
RETAIL,R3053,R3053,,,784198420000542,RETAIL,ACTIVE,2023-07-08
RETAIL,R3054,R3054,,,784-1985-2000055-0,RETAIL,ACTIVE,2023-07-25
RETAIL,R3055,R3055,,,784 1986 2000056 8,RETAIL,ACTIVE,2023-08-11
RETAIL,R3056,R3056,,,784198720000576,RETAIL,ACTIVE,2023-08-28
RETAIL,R3057,R3057,,,784-1988-2000058-4,RETAIL,ACTIVE,2023-09-14
RETAIL,R3058,R3058,,,784 1989 2000059 2,RETAIL,ACTIVE,2023-10-01
RETAIL,R3059,R3059,,,784199020000600,RETAIL,ACTIVE,2023-10-18
RETAIL,R3060,R3060,,,784-1991-2000061-8,RETAIL,ACTIVE,2023-11-04
RETAIL,R3061,R3061,,,784 1992 2000062 6,RETAIL,ACTIVE,2023-11-21
RETAIL,R3062,R3062,,,784199320000634,RETAIL,ACTIVE,2023-12-08
RETAIL,R3063,R3063,,,784-1994-2000064-2,RETAIL,ACTIVE,2023-12-25
RETAIL,R3064,R3064,,,784 1995 2000065 0,RETAIL,ACTIVE,2024-01-11
RETAIL,R3065,R3065,,,784199620000668,RETAIL,ACTIVE,2024-01-28
RETAIL,R3066,R3066,,,784-1997-2000067-6,RETAIL,ACTIVE,2024-02-14
RETAIL,R3067,R3067,,,784 1998 2000068 4,RETAIL,ACTIVE,2024-03-02
RETAIL,R3068,R3068,,,784199920000692,RETAIL,ACTIVE,2024-03-19
RETAIL,R3069,R3069,,,784-2000-2000070-0,RETAIL,ACTIVE,2024-04-05
RETAIL,R3070,R3070,,,784 2001 2000071 8,RETAIL,ACTIVE,2024-04-22
RETAIL,R3071,R3071,,,784200220000726,RETAIL,ACTIVE,2024-05-09
RETAIL,R3072,R3072,,,784-2003-2000073-4,RETAIL,ACTIVE,2024-05-26
RETAIL,R3073,R3073,,,784 2004 2000074 2,RETAIL,ACTIVE,2021-01-09
RETAIL,R3074,R3074,,,784198020000755,RETAIL,ACTIVE,2021-01-26
