transfer_id,quote_id,status,reference_number,source_account_id,direction,customer_id,transaction_timestamp,beneficiary_id,beneficiary_account_number,source_amount,target_amount,payment_purpose_key,payment_purpose_name,service_type,source_iban,total_fees,fee_details
LOC-OUT-0000002,QUOTE-LOC-OUT-0000002,COMPLETED,REF-LOC-OUT-0000002,ACC-R2001-001,OUTWARD,R2001,2026-01-10 09:01:00,RET-BEN-000001,770200000001,102.00,102.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000001,0.00,[]
LOC-OUT-0000004,QUOTE-LOC-OUT-0000004,COMPLETED,REF-LOC-OUT-0000004,ACC-R2001-001,OUTWARD,R2001,2026-02-13 09:01:00,RET-BEN-000001,770200000001,113.00,113.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000001,0.00,[]
LOC-OUT-0000006,QUOTE-LOC-OUT-0000006,COMPLETED,REF-LOC-OUT-0000006,ACC-R2001-001,OUTWARD,R2001,2026-03-16 09:01:00,RET-BEN-000001,770200000001,124.00,124.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000001,0.00,[]
LOC-OUT-0000008,QUOTE-LOC-OUT-0000008,COMPLETED,REF-LOC-OUT-0000008,ACC-R2001-001,OUTWARD,R2001,2026-04-19 09:01:00,RET-BEN-000001,770200000001,135.00,135.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000001,0.00,[]
LOC-OUT-0000010,QUOTE-LOC-OUT-0000010,COMPLETED,REF-LOC-OUT-0000010,ACC-R2001-001,OUTWARD,R2001,2026-05-22 09:01:00,RET-BEN-000001,770200000001,146.00,146.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000001,0.00,[]
LOC-OUT-0000012,QUOTE-LOC-OUT-0000012,COMPLETED,REF-LOC-OUT-0000012,ACC-R3001-001,OUTWARD,R3001,2026-01-17 10:02:00,RET-BEN-000002,770200000001,119.00,119.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000002,0.00,[]
LOC-OUT-0000014,QUOTE-LOC-OUT-0000014,COMPLETED,REF-LOC-OUT-0000014,ACC-R3001-001,OUTWARD,R3001,2026-02-20 10:02:00,RET-BEN-000002,770200000001,130.00,130.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000002,0.00,[]
LOC-OUT-0000016,QUOTE-LOC-OUT-0000016,COMPLETED,REF-LOC-OUT-0000016,ACC-R3001-001,OUTWARD,R3001,2026-03-23 10:02:00,RET-BEN-000002,770200000001,141.00,141.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000002,0.00,[]
LOC-OUT-0000018,QUOTE-LOC-OUT-0000018,COMPLETED,REF-LOC-OUT-0000018,ACC-R3001-001,OUTWARD,R3001,2026-04-04 10:02:00,RET-BEN-000002,770200000001,152.00,152.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000002,0.00,[]
LOC-OUT-0000020,QUOTE-LOC-OUT-0000020,COMPLETED,REF-LOC-OUT-0000020,ACC-R3001-001,OUTWARD,R3001,2026-05-07 10:02:00,RET-BEN-000002,770200000001,163.00,163.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000002,0.00,[]
LOC-OUT-0000022,QUOTE-LOC-OUT-0000022,COMPLETED,REF-LOC-OUT-0000022,ACC-R3002-001,OUTWARD,R3002,2026-01-24 11:03:00,RET-BEN-000003,770200000001,136.00,136.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000003,0.00,[]
LOC-OUT-0000024,QUOTE-LOC-OUT-0000024,COMPLETED,REF-LOC-OUT-0000024,ACC-R3002-001,OUTWARD,R3002,2026-02-05 11:03:00,RET-BEN-000003,770200000001,147.00,147.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000003,0.00,[]
LOC-OUT-0000026,QUOTE-LOC-OUT-0000026,COMPLETED,REF-LOC-OUT-0000026,ACC-R3002-001,OUTWARD,R3002,2026-03-08 11:03:00,RET-BEN-000003,770200000001,158.00,158.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000003,0.00,[]
LOC-OUT-0000028,QUOTE-LOC-OUT-0000028,COMPLETED,REF-LOC-OUT-0000028,ACC-R3002-001,OUTWARD,R3002,2026-04-11 11:03:00,RET-BEN-000003,770200000001,169.00,169.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000003,0.00,[]
LOC-OUT-0000030,QUOTE-LOC-OUT-0000030,COMPLETED,REF-LOC-OUT-0000030,ACC-R3002-001,OUTWARD,R3002,2026-05-14 11:03:00,RET-BEN-000003,770200000001,180.00,180.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000003,0.00,[]
LOC-OUT-0000032,QUOTE-LOC-OUT-0000032,COMPLETED,REF-LOC-OUT-0000032,ACC-R3003-001,OUTWARD,R3003,2026-01-09 12:04:00,RET-BEN-000004,770200000001,153.00,153.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000004,0.00,[]
LOC-OUT-0000034,QUOTE-LOC-OUT-0000034,COMPLETED,REF-LOC-OUT-0000034,ACC-R3003-001,OUTWARD,R3003,2026-02-12 12:04:00,RET-BEN-000004,770200000001,164.00,164.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000004,0.00,[]
LOC-OUT-0000036,QUOTE-LOC-OUT-0000036,COMPLETED,REF-LOC-OUT-0000036,ACC-R3003-001,OUTWARD,R3003,2026-03-15 12:04:00,RET-BEN-000004,770200000001,175.00,175.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000004,0.00,[]
LOC-OUT-0000038,QUOTE-LOC-OUT-0000038,COMPLETED,REF-LOC-OUT-0000038,ACC-R3003-001,OUTWARD,R3003,2026-04-18 12:04:00,RET-BEN-000004,770200000001,186.00,186.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000004,0.00,[]
LOC-OUT-0000040,QUOTE-LOC-OUT-0000040,COMPLETED,REF-LOC-OUT-0000040,ACC-R3003-001,OUTWARD,R3003,2026-05-21 12:04:00,RET-BEN-000004,770200000001,197.00,197.00,UTILITY_PAYMENT,Utility Bill Payment,FTS,AE070330000220000000004,0.00,[]
